id,species,observed_on,place,user,latitude,longitude,life_stage,alive_or_dead,url
258609826,Eastern Mudsnail,2024-12-30 11:51:11-05:00,"Cape May County, NJ, USA",fishing_429,39.0348433997,-74.7687138997,,,https://www.inaturalist.org/observations/258609826
256978225,Eastern Mudsnail,2024-06-03 06:45:00-04:00,"Cape May, NJ 08204, USA",jmaughn,38.945449944,-74.8991819415,,,https://www.inaturalist.org/observations/256978225
256660746,Eastern Mudsnail,2024-12-29 13:07:15-05:00,"Gateway National Recreation Area, Highlands, NJ, US",tesgeorge,40.4482716667,-73.99733,,,https://www.inaturalist.org/observations/256660746
251824196,Eastern Mudsnail,2024-11-14,Beach Haven,rkluzco,39.5592818643,-74.2431961745,,,https://www.inaturalist.org/observations/251824196
251242950,Eastern Mudsnail,2024-11-03 15:10:40-05:00,"Jersey City, NJ 07305, USA",xiao89353,40.6951141698,-74.0690088272,,,https://www.inaturalist.org/observations/251242950
250482639,Eastern Mudsnail,2024-11-04 14:22:41-05:00,"Upper New York Bay, Jersey City, NJ, US",gwt2102,40.694375,-74.0653221667,,,https://www.inaturalist.org/observations/250482639
250482512,Eastern Mudsnail,2024-11-04 14:24:56-05:00,"Upper New York Bay, Jersey City, NJ, US",gwt2102,40.6944383333,-74.0651945,,,https://www.inaturalist.org/observations/250482512
248122791,Eastern Mudsnail,2024-10-19 13:49:18-04:00,"Gateway National Recreation Area, Atlantic Highlands, NJ, US",luislirianoperez,40.404775,-73.97905,,Alive,https://www.inaturalist.org/observations/248122791
248084689,Eastern Mudsnail,2024-10-19 11:35:47-04:00,"Gateway National Recreation Area, Atlantic Highlands, NJ, US",amagg24,40.4071212408,-73.9757484676,,Dead,https://www.inaturalist.org/observations/248084689
248067506,Eastern Mudsnail,2024-10-19 09:46:22-04:00,"Atlantic City, NJ 08401, USA",swampythings,39.3572375253,-74.420889169,,Dead,https://www.inaturalist.org/observations/248067506
247832416,Eastern Mudsnail,2024-10-17 17:27:25-04:00,Beach Haven,rkluzco,39.5592818643,-74.2431961745,,Dead,https://www.inaturalist.org/observations/247832416
247832154,Eastern Mudsnail,2024-10-17 17:28:10-04:00,Beach Haven,rkluzco,39.5592818643,-74.2431961745,,Dead,https://www.inaturalist.org/observations/247832154
247827890,Eastern Mudsnail,2024-10-17 17:29:11-04:00,"Beach Haven, NJ 08008, USA",rkluzco,39.5592795379,-74.2431961745,,,https://www.inaturalist.org/observations/247827890
