id,species,observed_on,place,user,latitude,longitude,life_stage,alive_or_dead,url
255549595,Ipswich Sparrow,2024-12-18 10:36:00-05:00,"Ludlam Island, Strathmere, NJ, US",jackmcdonough,39.1822040811,-74.6698110435,,,https://www.inaturalist.org/observations/255549595
254577091,Ipswich Sparrow,2024-12-07 09:50:00-05:00,"Barnegat Bay, New Jersey, USA",dvdrobinson,39.8672928,-74.1122506,Adult,Alive,https://www.inaturalist.org/observations/254577091
254251553,Ipswich Sparrow,2024-12-02 14:00:00-05:00,"Barnegat Light, NJ, USA",er-birds,39.7606802074,-74.0984035594,,,https://www.inaturalist.org/observations/254251553
203527852,Ipswich Sparrow,2023-12-31 11:03:22-05:00,"Long Beach Island, Beach Haven, NJ, US",jstippick,39.503393111,-74.2996752335,,,https://www.inaturalist.org/observations/203527852
202567461,Ipswich Sparrow,2024-03-15 14:22:28-04:00,"Barnegat Inlet, Barnegat Light, NJ, US",jsaitz,39.7600583333,-74.0972528333,,,https://www.inaturalist.org/observations/202567461
202520235,Ipswich Sparrow,2024-03-08 13:13:00-05:00,"Ocean County, NJ, USA",jmole,39.7595957325,-74.0966706919,,,https://www.inaturalist.org/observations/202520235
202520234,Ipswich Sparrow,2024-03-08 13:13:00-05:00,"Ocean County, NJ, USA",jmole,39.7596055242,-74.0966844943,,,https://www.inaturalist.org/observations/202520234
201373865,Ipswich Sparrow,2024-02-08 11:15:00-05:00,"Ocean County, NJ, USA",judygva,39.7582972885,-74.0945345498,,,https://www.inaturalist.org/observations/201373865
200822119,Ipswich Sparrow,2024-02-25 12:35:00-05:00,"Berkeley Township, NJ, USA",efalquet,39.7631020107,-74.1022474086,,,https://www.inaturalist.org/observations/200822119
200681076,Ipswich Sparrow,2024-02-19 13:18:00-05:00,"Berkeley Township, NJ, USA",tomdriscoll,39.7639838717,-74.1032924952,,,https://www.inaturalist.org/observations/200681076
